Title,Score,URL,Top comment Author,Top comment content
"TIL that Pope Marcellus II who was ruler of the Papal States from 10 April 1555 to his death, 22 days later, is the most recent pope to choose to retain his birth name as his regnal name upon his accession, and the most recent pope to date with the regnal name ""Marcellus"".",420,https://en.wikipedia.org/wiki/Pope_Marcellus_II,AudibleNod,"Judging from the pictures available of him, I can safely say Pope Marcellus II does not, in fact, look like a bitch."
"TIL that in 2013, doctors kept a man's severed hand alive by grafting it to his ankle.",259,https://www.cnn.com/2013/12/17/health/china-hand-leg/index.html,bobthunicorn,"For anyone wondering, the hand was not permanently attached to his leg. They just used the blood flow to keep the hand alive while his arm healed enough to reattach the hand."
"TIL that Dirk Willems, a 16th-century Dutch Anabaptist, escaped prison but turned back to save the guard chasing him who fell through ice—an act of mercy that led to his recapture and execution.",14472,https://en.wikipedia.org/wiki/Dirk_Willems,MrSuccinylcholine,Burned at the stake (slowly due to the wind)
"TIL, of a 1943 smog storm in Los Angeles which came so suddenly and was so intense, the noxious fumes were thought to be an enemy gas attack",218,https://www.desmog.com/2024/11/12/revealed-big-oil-told-70-years-ago-that-fossil-fuel-emissions-could-impact-civilization/,bodhidharma132001,Yes. Let's defund the EPA
"TIL Eminem wrote 'Brain Damage' about his actual childhood bully, DeAngelo Bailey. Bailey boasted in an interview that he gave Eminem a concussion so bad, his ears bled and he lost his vision. He had also attempted to sue Eminem for slander in 2001. A judge dismissed the claim in the form of a rap.",54288,https://en.wikipedia.org/wiki/Brain_Damage_(Eminem_song),turndownforwomp,"Proof that some bullies stay bullies even when they grow up lol what an impressive level of entitlement, “yeah I beat you up and laughed about it in public but don’t make a mean song about me :(“"
"TIL that popes cannot be organ donors because their body becomes property of the church upon their death. This rule invalidated Pope Benedict’s organ donor card, which he had held since the 1970s.",26837,https://www.theguardian.com/world/2011/feb/04/pope-benedict-organ-donor-card-invalid,helican,Would an organ of a 95 years old dude even be transplanted?
"TIL that Frida Kahlo had an affair with Leon Trotsky and painted a self-portrait for him, which she almost destroyed after his assassination",6547,https://en.wikipedia.org/wiki/Self-Portrait_Dedicated_to_Leon_Trotsky,starwalker327,"Frida Kahlo and Diego were sleeping with *everyone*, we really can't be too shocked about this."
"TIL that Simpsons character Troy McClure’s surname was derived from IRL actor Doug McClure, whose daughters nicknamed him “Troy McClure” behind his back; he reportedly found the parody to be funny.",2474,https://en.wikipedia.org/wiki/Doug_McClure#cite_note-11,trucorsair,"Considering his career was basically over when the Simpsons hit their stride with these parodies, I am sure he was happy to be remembered"
TIL Administrative Professionals Day is on the Wednesday of the last full week of April. It was started in 1952 by the National Secretaries Association.,59,https://en.wikipedia.org/wiki/Administrative_Professionals_Day,Reasonable-Bus-2187,Secretary of Defense will drink to that
TIL that when Terry Fox's famous Marathon of Hope for cancer research entered Quebec he was hampered by locals continuously running him off the road.,8380,https://en.wikipedia.org/wiki/Terry_Fox?wprov=sfla1,mantafloppy,"The Wikipedia quote is based on this :

> “June 15, 26 miles, Highway 201,611 miles

> I am tired and weary because people are continually forcing me off the road. I was actually honked off once. People are passing from behind me on this narrow road. It is so frustrating. They all drive at eighty miles per hour and don’t slow down for anything. It is wearisome. Mental breakdown. We talked and ate with John Simpson and Scott Hamilton [filmmakers working on the Cancer Society–sponsored documentary, I Had a Dream] and then I did a long interview. In bed late again.

Terry thought Quebec was beautiful. He admired the statues around the churches, the cobbled streets and the tidy, antiquated shops of old Quebec City. He saw the battlefield on the Plains of Abraham, and it was fun to eat in a restaurant named the Marie Antoinette. He met Gérard Côté, four-time Boston Marathon winner (1940, 1942, 1943, and 1948), and was happy to be featured on the front page of the French-language daily, Le Soleil. That was all very nice, but he wasn’t raising money, running conditions were dangerous, and he wasn’t meeting many people. He believed if the marathon had been better publicized, Quebecers would have responded as other Canadians had.

It was very disappointing; it’s not because they’re French and we’re English. Anyone can get cancer. I’m running across Canada, and Quebec is a province in Canada. With me, it isn’t a political or racial thing, it’s just a human thing. Cancer can strike anybody. I’m trying to help out everybody in my run. In one stretch of Quebec, we collected thirty-five dollars while I ran one hundred miles.

Nor was he helped by the attitude of motorists and the police: “Near Quebec City I kept nearly getting hit because they drove so fast. Afterwards I decided I had to move over to the freeway, which had a side lane. It was perfectly safe and nobody was near me. I ran there for two days when the Quebec Provincial Police told me I couldn’t run on it any more because it wasn’t safe [and because of the traffic expected for the St-Jean-Baptiste holiday weekend]. I had to get back on these other side roads. In Drummondville I got back on the little roads and kept nearly getting hit again. These cars were just whizzing by and shooing me off the road.

“Then Terry learned that he would have to wait in Montreal so he would arrive in Ottawa for Canada Day celebrations, in accordance with the schedule set up by Bill Vigars. He agreed only when Bill told him the difference it might mean in fundraising.

Terry ran into Montreal on a Sunday, using a route he had chosen and mapped out himself. He was accompanied by four wheelchair athletes and former Montreal Alouettes kicker Don Sweet. As he and the others ran down the quiet morning streets, there were few passersby to cheer him on.

...

Once he was on the road again, Terry was dodging cars that zoomed past him at furious speeds. He ran looking over his shoulder. The temperature soared to thirty-two degrees Celsius. The boys started counting the days until they could leave Quebec and the isolation caused by their language difficulties."
"TIL that in 1844, Professor H. Booth claimed “from inhaling the odour of beef the butcher's wife obtains her obesity.” This was part of the 19th-century miasma theory, which linked diseases and weight gain to inhaling “bad air” from rotting matter, influencing public health during cholera outbreaks.",1745,https://www.sciencemuseum.org.uk/objects-and-stories/medicine/cholera-victorian-london,BZRich,Malaria = mal aria = bad air. Open windows let the bad air in. Oh and mosquitoes too
TIL that the black mamba can sprint at speeds of up to 16 km/h (10 mph).,337,https://en.wikipedia.org/wiki/Black_mamba,MeinhofBaader,Sprint?
"TIL Craig Mazin is now known for co-creating dramas like ""The Last of Us"" and ""Chernobyl"" and comedies like ""Scary Movie 4"", but he also wrote for ""Dune: Part Two"" and ""Wicked"", only being credited after the WGA revised their policy.",3730,https://en.wikipedia.org/wiki/Craig_Mazin#Film,NennisDedry,"Fun Fact: He was also room mates with Ted Cruz at college and called him a “nightmare of a human being”. 

So Mazin endured horrors to be able to accurately write about them."
"TIL about Fish Doorbell, a Dutch livestream of a dam that allows viewers to click a bell to notify fish are ready to pass through",1139,https://en.wikipedia.org/wiki/Fish_doorbell,sirbearus,"Here is the link to the camera that watches for fish to approach.  
[https://visdeurbel.nl/](https://visdeurbel.nl/)"
"TIL In Sri Lanka, divorce in any age group is statistically very rare. The primary reason for this is the challenge of establishing divorce grounds in court.",6461,https://www.dailymirror.lk/opinion/Global-Increase-of-Grey-divorce/231-296769,Datacin3728,This ONE TRICK they don't want you to know will dramatically lower the divorce rate!
"TIL about Pasuckuakohowog, a Native American sport vaguely similar to soccer, but played by teams of up to 500 players with goals a half mile wide and the field being a mile long",730,https://en.wikipedia.org/wiki/Pasuckuakohowog,heyitsmemaya,"**”Hey!  We’re about to play a pickup game of Pasuckuakohowog, and are short 137 guys, do you and your entire tribe wanna play?!”**"
"TIL that Sir John Tenniel, famed Alice illustrator and Punch cartoonist, drew the 1851 Happy Families card game for Jaques of London. Shown at the Great Exhibition, it was a hit. Nearly lost in the Blitz, it survived thanks to designs preserved in the factory's safe.",137,https://www.wopc.co.uk/games/jaques-happy-families,Chernobog3,"Very cool, I've never heard of these before. The grotesque style makes me think of them as a pre-cursor concept to the Garbage Pail Kids. I couldn't quite make out all the rules but it sounded like a variation of Go Fish."
TIL in 2005 Rick Moranis released a Grammy nominated country album The Agoraphobic Cowboy,133,https://abcnews.go.com/Nightline/story?id=1582734&page=1,Morgue724,I wonder if Mel brooks helped inspire lyrics for it they were quite the combo in spaceballs.
"TIL that, in 1967, Joseph Stalin's daughter briefly lived in East Berlin, Pennsylvania after defecting to the United States",2517,"https://en.wikipedia.org/wiki/East_Berlin,_Pennsylvania",p-wing,"Don't worry: there is no West Berlin, PA

We made sure Stalin couldn't invade West Berlin on accident"
"TIL that Georgis Stathis Hatzis freedove 250 feet in three and a half minutes to retrieve a battleship's anchor in 1913. He was described as feeble, suffering from emphysema, and was unable to hold his breath on land for more than 40 seconds.",114,https://dan.org/alert-diver/article/the-story-of-sponge-divers/,unclearthur68,'Freedove.' Nice use of the language there.
"TIL pilot error is a leading cause of airplane crashes. In 2004, it was cited as the primary reason for 78.6% of disastrous general aviation accidents. Some causes are fatigue, faulty memory, and poor interpersonal communication. Using checklists has reduced risks over time.",1211,https://en.wikipedia.org/wiki/Pilot_error,SubaruKev,Did you just start watching season 2 of The Rehearsal?
"TIL that in 1974, the Buffalo Sabres drafted a fake Japanese player named Taro Tsujimoto as a hoax to protest the NHL’s draft procedure.",91,https://en.wikipedia.org/wiki/Taro_Tsujimoto,bmcgowan89,That's a good trivia name.  Like Ron Mexico
"TIL a man legally changed his name to ""Znoneofthe, Above"" to provide a None of the Above option for elections (the Silent Z was to have his name appear last on the ballot). But when he contested the election, given names were listed first, rendering it as Above Znoneofthe.",13323,https://www.cbc.ca/news/canada/toronto/vote-none-of-the-above-byelection-1.3426783,Deleted,[deleted]
TIL: USSR used nuclear bomb to stop gas well blowout in Uzbekistan,9,https://youtu.be/UHXsv8zxgC8?feature=shared,SupermarketOk2281,"Free glowing gas for the next 250 years, neat!"
TIL that all of the shots of the little island above Bikini Bottom in Spongebob Squarepants were filmed in Genndy Tartakovsky's pool,928,"https://en.wikipedia.org/wiki/SpongeBob_SquarePants_Theme#Music,_lyrics,_and_opening_sequence",TheThalmorEmbassy,Sorry that there's a picture of Avril Lavigne
"TIL Plants can sense light, touch, gravity, smell, sound, and even vibrations. They react using hormones and electrical signals—bending, blooming, defending, and adapting. Though brainless, they behave intelligently, responding to their environment in complex ways.",779,https://en.wikipedia.org/wiki/Plant_perception_%28physiology%29,QuintusNonus,"They also emit ultrasonic vibrations when stressed. For example, when a tomato or tobacco plant is cut or lacks water, it emits clicking or popping sounds."
"TIL The Godfather almost didn’t get made because Paramount didn’t believe in it, and the director nearly got fired before the studio saw the rough cut. It went on to become one of the most iconic films of all time.",3003,https://ew.com/francis-ford-coppola-nearly-fired-al-pacino-the-godfather-8729431,RunDNA,"There's a miniseries about the making of it that is surprisingly good:

https://en.wikipedia.org/wiki/The_Offer

It's got an 8.6 on IMDb."
"TIL that “keming” is a joke term for bad kerning - the spacing between letters - where poor kerning makes the “r” and “n” in “kerning” blend together, turning it into “keming.” Coined by designer David Friedman in 2008, it’s a favourite inside joke among designers.",1627,https://www.ironicsans.com/2008/02/idea_a_new_typography_term.html,Pilzoyz,"If you use good keming, your text will look dean and modem."
"TIL Thai names are long and complex because each family has a unique surname restricted by blood, and descriptive first names are believed to have spiritual advantages. In parallel, Thais also have short nicknames that are not derived from their legal names.",431,https://www.babelstreet.com/blog/analyzing-thai-names-superstition-history-and-foreign-influence,Ill_Definition8074,Thai surnames are so unique because surnames weren't introduced in Thailand until a 1913 law which stated that two unrelated people could not have the same surname.
"TIL Texaco illegally sold oil to Francisco Franco during the Spanish Civil War. The company was fined $20,000 but would continued to sell the regime oil until the end of the war.",9638,https://en.wikipedia.org/wiki/Texaco,Rare_Trouble_4630,"If the fines are too low, then companies just view them as the cost of doing business.


EDIT: typo"
"TIL that in the Sundarbans mangrove swamps of Bangladesh and India, tigers kill up to fifty people a year, and the widows of men killed by tigers face cultural and religious ostracization, and are viewed as bad omens. Many are excluded from society to the point of having their children taken away.",243,https://www.bangkokpost.com/world/1862754/tiger-widows-shunned-as-bad-luck-in-rural-bangladesh,Deleted,No Comments
TIL that teen pregnancy rates in the US are less than a quarter what they were in the 90s!,36902,https://abcnews.go.com/Health/teenage-birth-rates-us-reached-historic-lows-2022/story?id=99720479,Ok-Highway-5247,I work in education.  Kids aren’t “going out” like they used to.
